,precision,recall,f1-score,support
no,0.9770845368765646,0.8472199031557857,0.9075299588624576,5989.0
yes,0.42416614222781623,0.849936948297604,0.5659109991603695,793.0
accuracy,0.8475375995281628,0.8475375995281628,0.8475375995281628,0.8475375995281628
macro avg,0.7006253395521904,0.8485784257266948,0.7367204790114135,6782.0
weighted avg,0.9124333592067831,0.8475375995281628,0.867585424058011,6782.0
